date,day,clubid,name,event_name,start_time ,end_time,description,ind_music,ind_dress,ind_affordable,ind_club,ind_bar,ind_over21,ind_cost,photoid,Coefficient,last_coefficient
05/08/2016,fri,1005,MOSH,Open the Window,10,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p","Rock, Indie",Casual,1,1,0,0,5,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.6,0
05/08/2016,fri,1006,HELSINKI,Apocalypso,10,4,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p",Commercial,"No trainers, No hoodies",0,1,0,0,5,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.1,0
05/08/2016,fri,1007,XY,Chapter Elvis,11,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p","Hip Hop, Commercial",Smart,0,1,0,0,5,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.7,0.6
05/08/2016,fri,1008,GHOST,Sprit of the Arts,10,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p",Commercial,"No trainers, No hoodies",0,1,0,0,5,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.3,0.4
05/08/2016,fri,1009,FAT CAT BAR,Striders on the Storm,11,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p","Hip Hop, Commercial",Smart,0,0,1,0,0,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",1,0.1
05/08/2016,fri,1010,MARZ BAR,Earth Cup,10,4,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p",Commercial,Smart,0,0,1,0,0,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.4,0.1
05/08/2016,fri,1011,BLUEPRINT,Greenclick,10,4,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p",Commercial,"No trainers, No hoodies",0,1,0,0,5,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.8,0.5
05/08/2016,fri,1012,HAVANA,Piss Focus,10,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p",Commercial,"No trainers, No hoodies",0,1,0,0,5,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.8,0.2
05/08/2016,fri,1013,REVOLUTION,The Buffoon Buffet,11.3,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p","Hip Hop, Commercial","No trainers, No hoodies",0,0,1,0,0,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.1,1
05/08/2016,fri,1014,O2 ACADEMY,Future Engineers of Canada,11,4,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p",Commercial,Casual,1,1,0,0,5,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.3,0.9
06/08/2016,sat,1001,CLUB REPUBLIC,Blog a Thong,10,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p",Commercial,Smart,0,1,0,0,5,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.6,0.9
06/08/2016,sat,1002,THE FAN CLUB,Pineapple Day,11,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p",Commercial,Smart,0,1,0,0,5,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.5,0.7
06/08/2016,sat,1003,VENOM,Lingo Bingo,10,4,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p",Commercial,"No trainers, No hoodies",0,1,0,0,5,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.7,0.3
06/08/2016,sat,1004,THE BASEMENT,Soma Night,10,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p","Rock, Indie",Casual,0,1,0,0,5,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.6,0.8
06/08/2016,sat,1005,MOSH,Dutch Auction Rollover,10,4,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p","Rock, Indie",Smart,1,1,0,0,5,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.9,0.4
06/08/2016,sat,1006,HELSINKI,Pigeon Wednesday,10,4,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p",Commercial,"No trainers, No hoodies",0,1,0,0,5,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.2,0.9
06/08/2016,sat,1007,XY,Corn Dog Social,10,4,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p",Commerical,Smart,0,1,0,0,5,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.6,0.9
06/08/2016,sat,1008,GHOST,Nude Attitude,10,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p",Commerical,"No trainers, No hoodies",0,1,0,0,5,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.7,0.3
06/08/2016,sat,1009,FAT CAT BAR,Hoodie,9,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p","Hip Hop, Commercial",Smart,0,0,1,0,0,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.6,0.6
06/08/2016,sat,1010,MARZ BAR,Slam Banjo,9,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p","Hip Hop, Commercial",Smart,0,0,1,0,0,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",1,0.1
06/08/2016,sat,1011,BLUEPRINT,That’s the Wrong Bong,10,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p",Commercial,"No trainers, No hoodies",0,1,0,0,5,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.5,0
06/08/2016,sat,1012,HAVANA,Waltzing with Eternity,11,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p",Commercial,"No trainers, No hoodies",0,1,0,0,5,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.9,0.1
06/08/2016,sat,1013,REVOLUTION,XORCat 5000,11.3,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p","Hip Hop, Commercial","No trainers, No hoodies",0,0,1,0,0,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.8,0.7
07/08/2016,sun,1013,REVOLUTION,Call it Green,11.3,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p","Hip Hop, Commercial","No trainers, No hoodies",0,0,1,0,0,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.2,1
